Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,22/10/2024 23:30,TD Garden,Boston Celtics,New York Knicks,132 - 109
2,1,23/10/2024 02:00,Crypto.com Arena,Los Angeles Lakers,Minnesota Timberwolves,110 - 103
3,1,23/10/2024 23:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,109 - 115
4,1,23/10/2024 23:30,State Farm Arena,Atlanta Hawks,Brooklyn Nets,120 - 116
5,1,23/10/2024 23:30,Kaseya Center,Miami Heat,Orlando Magic,97 - 116
6,1,23/10/2024 23:30,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,109 - 124
7,1,23/10/2024 23:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,106 - 136
8,1,24/10/2024 00:00,Toyota Center,Houston Rockets,Charlotte Hornets,105 - 110
9,1,24/10/2024 00:00,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,123 - 111
10,1,24/10/2024 01:00,Delta Center,Utah Jazz,Memphis Grizzlies,124 - 126
11,1,24/10/2024 02:00,Intuit Dome,LA Clippers,Phoenix Suns,113 - 116
12,1,24/10/2024 02:00,Moda Center,Portland Trail Blazers,Golden State Warriors,104 - 140
13,1,24/10/2024 23:00,Capital One Arena,Washington Wizards,Boston Celtics,102 - 122
14,1,24/10/2024 23:30,American Airlines Center,Dallas Mavericks,San Antonio Spurs,120 - 109
15,1,25/10/2024 02:00,Ball Arena,Denver Nuggets,Oklahoma City Thunder,87 - 102
16,1,25/10/2024 02:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,115 - 117
17,1,25/10/2024 23:00,Kia Center,Orlando Magic,Brooklyn Nets,116 - 101
18,1,25/10/2024 23:00,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,115 - 107
19,1,25/10/2024 23:30,State Farm Arena,Atlanta Hawks,Charlotte Hornets,125 - 120
20,1,25/10/2024 23:30,Rocket Arena,Cleveland Cavaliers,Detroit Pistons,113 - 101
21,1,25/10/2024 23:30,Madison Square Garden,New York Knicks,Indiana Pacers,123 - 98
22,1,26/10/2024 00:00,Toyota Center,Houston Rockets,Memphis Grizzlies,128 - 108
23,1,26/10/2024 00:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,122 - 133
24,1,26/10/2024 01:30,Delta Center,Utah Jazz,Golden State Warriors,86 - 127
25,1,26/10/2024 02:00,Crypto.com Arena,Los Angeles Lakers,Phoenix Suns,123 - 116
26,1,26/10/2024 02:00,Moda Center,Portland Trail Blazers,New Orleans Pelicans,103 - 105
27,1,26/10/2024 21:00,Ball Arena,Denver Nuggets,LA Clippers,104 - 109
28,1,26/10/2024 23:00,Spectrum Center,Charlotte Hornets,Miami Heat,106 - 114
29,1,26/10/2024 23:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,118 - 124
30,1,26/10/2024 23:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,116 - 135
31,1,27/10/2024 00:00,United Center,Chicago Bulls,Oklahoma City Thunder,95 - 114
32,1,27/10/2024 00:00,FedExForum,Memphis Grizzlies,Orlando Magic,124 - 111
33,1,27/10/2024 00:00,Target Center,Minnesota Timberwolves,Toronto Raptors,112 - 101
34,1,27/10/2024 00:30,Frost Bank Center,San Antonio Spurs,Houston Rockets,109 - 106
35,1,27/10/2024 02:00,PHX Arena,Phoenix Suns,Dallas Mavericks,114 - 102
36,1,27/10/2024 02:30,Crypto.com Arena,Los Angeles Lakers,Sacramento Kings,131 - 127
37,1,27/10/2024 19:30,Gainbridge Fieldhouse,Indiana Pacers,Philadelphia 76ers,114 - 118
38,1,27/10/2024 22:00,Barclays Center,Brooklyn Nets,Milwaukee Bucks,115 - 102
39,1,27/10/2024 22:00,Moda Center,Portland Trail Blazers,New Orleans Pelicans,125 - 103
40,1,27/10/2024 23:00,Paycom Center,Oklahoma City Thunder,Atlanta Hawks,128 - 104
41,1,28/10/2024 00:30,Chase Center,Golden State Warriors,LA Clippers,104 - 112
42,1,28/10/2024 23:00,Kia Center,Orlando Magic,Indiana Pacers,119 - 115
43,1,28/10/2024 23:30,State Farm Arena,Atlanta Hawks,Washington Wizards,119 - 121
44,1,28/10/2024 23:30,TD Garden,Boston Celtics,Milwaukee Bucks,119 - 108
45,1,28/10/2024 23:30,Kaseya Center,Miami Heat,Detroit Pistons,106 - 98
46,1,28/10/2024 23:30,Madison Square Garden,New York Knicks,Cleveland Cavaliers,104 - 110
47,1,28/10/2024 23:30,Scotiabank Arena,Toronto Raptors,Denver Nuggets,125 - 127
48,1,29/10/2024 00:00,FedExForum,Memphis Grizzlies,Chicago Bulls,123 - 126
49,1,29/10/2024 00:00,Frost Bank Center,San Antonio Spurs,Houston Rockets,101 - 106
50,1,29/10/2024 00:30,American Airlines Center,Dallas Mavericks,Utah Jazz,110 - 102
51,1,29/10/2024 02:00,PHX Arena,Phoenix Suns,Los Angeles Lakers,109 - 105
52,1,29/10/2024 02:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,111 - 98
53,1,29/10/2024 23:30,Barclays Center,Brooklyn Nets,Denver Nuggets,139 - 144
54,1,29/10/2024 23:30,Target Center,Minnesota Timberwolves,Dallas Mavericks,114 - 120
55,1,30/10/2024 01:00,Delta Center,Utah Jazz,Sacramento Kings,96 - 113
56,1,30/10/2024 02:00,Chase Center,Golden State Warriors,New Orleans Pelicans,124 - 106
57,2,30/10/2024 23:00,Spectrum Center,Charlotte Hornets,Toronto Raptors,138 - 133
58,2,30/10/2024 23:00,Rocket Arena,Cleveland Cavaliers,Los Angeles Lakers,134 - 110
59,2,30/10/2024 23:00,Gainbridge Fieldhouse,Indiana Pacers,Boston Celtics,135 - 132
60,2,30/10/2024 23:00,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,95 - 105
61,2,30/10/2024 23:00,Capital One Arena,Washington Wizards,Atlanta Hawks,133 - 120
62,2,30/10/2024 23:30,Kaseya Center,Miami Heat,New York Knicks,107 - 116
63,2,31/10/2024 00:00,United Center,Chicago Bulls,Orlando Magic,102 - 99
64,2,31/10/2024 00:00,FedExForum,Memphis Grizzlies,Brooklyn Nets,106 - 119
65,2,31/10/2024 01:30,Paycom Center,Oklahoma City Thunder,San Antonio Spurs,105 - 93
66,2,31/10/2024 02:00,Chase Center,Golden State Warriors,New Orleans Pelicans,104 - 89
67,2,31/10/2024 02:30,Intuit Dome,LA Clippers,Portland Trail Blazers,105 - 106
68,2,01/11/2024 00:00,FedExForum,Memphis Grizzlies,Milwaukee Bucks,122 - 99
69,2,01/11/2024 00:30,American Airlines Center,Dallas Mavericks,Houston Rockets,102 - 108
70,2,01/11/2024 01:00,Delta Center,Utah Jazz,San Antonio Spurs,88 - 106
71,2,01/11/2024 02:30,Intuit Dome,LA Clippers,Phoenix Suns,119 - 125
72,2,01/11/2024 23:00,Spectrum Center,Charlotte Hornets,Boston Celtics,109 - 124
73,2,01/11/2024 23:00,Rocket Arena,Cleveland Cavaliers,Orlando Magic,120 - 109
74,2,01/11/2024 23:00,Little Caesars Arena,Detroit Pistons,New York Knicks,98 - 128
75,2,01/11/2024 23:30,State Farm Arena,Atlanta Hawks,Sacramento Kings,115 - 123
76,2,01/11/2024 23:30,Barclays Center,Brooklyn Nets,Chicago Bulls,120 - 112
77,2,01/11/2024 23:30,Scotiabank Arena,Toronto Raptors,Los Angeles Lakers,125 - 131
78,2,02/11/2024 00:00,Smoothie King Center,New Orleans Pelicans,Indiana Pacers,125 - 118
79,2,02/11/2024 01:30,Target Center,Minnesota Timberwolves,Denver Nuggets,119 - 116
80,2,02/11/2024 02:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,114 - 137
81,2,02/11/2024 22:00,Spectrum Center,Charlotte Hornets,Boston Celtics,103 - 113
82,2,02/11/2024 23:30,Wells Fargo Center,Philadelphia 76ers,Memphis Grizzlies,104 - 124
83,2,02/11/2024 23:30,Scotiabank Arena,Toronto Raptors,Sacramento Kings,131 - 128
84,2,03/11/2024 00:00,Toyota Center,Houston Rockets,Golden State Warriors,121 - 127
85,2,03/11/2024 00:00,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,113 - 114
86,2,03/11/2024 00:00,Frost Bank Center,San Antonio Spurs,Minnesota Timberwolves,113 - 103
87,2,03/11/2024 01:30,Arena CDMX,Washington Wizards,Miami Heat,98 - 118
88,2,03/11/2024 02:00,Ball Arena,Denver Nuggets,Utah Jazz,129 - 103
89,2,03/11/2024 02:00,PHX Arena,Phoenix Suns,Portland Trail Blazers,103 - 97
90,2,03/11/2024 02:30,Intuit Dome,LA Clippers,Oklahoma City Thunder,92 - 105
91,2,03/11/2024 20:30,Barclays Center,Brooklyn Nets,Detroit Pistons,92 - 106
92,2,04/11/2024 00:00,Smoothie King Center,New Orleans Pelicans,Atlanta Hawks,111 - 126
93,2,04/11/2024 00:30,American Airlines Center,Dallas Mavericks,Orlando Magic,108 - 85
94,2,05/11/2024 00:00,Rocket Arena,Cleveland Cavaliers,Milwaukee Bucks,116 - 114
95,2,05/11/2024 00:15,Capital One Arena,Washington Wizards,Golden State Warriors,112 - 125
96,2,05/11/2024 00:30,Little Caesars Arena,Detroit Pistons,Los Angeles Lakers,115 - 103
